gender,age,income,career,dec,attr,sinc,intel,fun,amb,shar,like,prob,met
0,21.0,69487.0,Legal,1,6.0,9.0,7.0,7.0,6.0,5.0,7.0,6.0,1
0,21.0,69487.0,Legal,1,7.0,8.0,7.0,8.0,5.0,6.0,7.0,5.0,1
0,21.0,69487.0,Legal,1,5.0,8.0,9.0,8.0,5.0,7.0,7.0,5.22648790058862,1
0,21.0,69487.0,Legal,1,7.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0,1
0,21.0,69487.0,Legal,1,5.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,1
0,21.0,69487.0,Legal,0,4.0,9.0,7.0,4.0,6.0,4.0,6.0,5.0,1
0,21.0,69487.0,Legal,1,7.0,6.0,7.0,4.0,6.0,7.0,6.0,5.0,1
0,21.0,69487.0,Legal,0,4.0,9.0,7.0,6.0,5.0,6.0,6.0,7.0,1
0,21.0,69487.0,Legal,1,7.0,6.0,8.0,9.0,8.0,8.0,7.0,7.0,1
0,21.0,69487.0,Legal,1,5.0,6.0,6.0,8.0,10.0,8.0,6.0,6.0,1
0,24.0,65929.0,Legal,0,5.0,7.0,8.0,4.0,6.0,3.0,6.0,4.0,1
0,24.0,65929.0,Legal,0,8.0,5.0,6.0,6.0,9.0,6.0,7.0,3.0,1
0,24.0,65929.0,Legal,0,5.0,8.0,9.0,6.0,3.0,4.0,6.0,7.0,1
0,24.0,65929.0,Legal,1,7.0,9.0,7.0,6.0,5.0,7.0,7.0,8.0,1
0,24.0,65929.0,Legal,0,6.0,8.0,7.0,9.0,7.0,8.0,8.0,6.0,1
0,24.0,65929.0,Legal,0,8.0,7.0,8.0,3.0,6.0,2.0,6.0,5.0,1
0,24.0,65929.0,Legal,1,7.0,5.0,9.0,6.0,7.0,9.0,8.0,7.0,1
0,24.0,65929.0,Legal,0,5.0,8.0,7.0,5.0,9.0,5.0,5.0,6.0,1
0,24.0,65929.0,Legal,1,7.0,6.0,8.0,9.0,4.0,5.0,5.0,6.0,1
0,24.0,65929.0,Legal,1,6.0,7.0,8.0,7.0,9.0,8.0,8.0,7.0,1
0,25.0,51820.545454545456,Finance,0,7.0,9.0,10.0,7.0,8.0,9.0,8.0,7.0,1
0,25.0,51820.545454545456,Finance,0,9.0,7.0,9.0,8.0,9.0,7.0,8.0,7.0,1
0,25.0,51820.545454545456,Finance,0,7.0,9.0,9.0,7.0,9.0,7.0,8.0,7.0,1
